k,ranking,CB_L1,regret_L1,CB_L2,regret_L2,CB_L3,regret_L3,CB_L4,regret_L4,CB_L5,regret_L5,worst_regret
pct10,recorded_cost,1.0,0.0,0.9869,0.0131,0.8804,0.1196,0.9914,0.0086,0.5334,0.4666,0.4666
pct10,wo_count,0.9365,0.0635,0.976,0.024,1.0,0.0,0.8636,0.1364,0.51,0.49,0.49
pct10,labor_hours,0.9634,0.0366,1.0,0.0,0.8269,0.1731,0.9698,0.0302,0.5491,0.4509,0.4509
pct10,mean_cost_per_wo,0.264,0.736,0.2865,0.7135,0.0486,0.9514,0.3824,0.6176,0.7902,0.2098,0.9514
pct10,shock_only,0.971,0.029,0.9641,0.0359,0.7952,0.2048,1.0,0.0,0.5453,0.4547,0.4547
pct10,consensus,0.9285,0.0715,0.9275,0.0725,0.8666,0.1334,0.8993,0.1007,0.5775,0.4225,0.4225
pct20,recorded_cost,1.0,0.0,0.9644,0.0356,0.9555,0.0445,0.9628,0.0372,0.5623,0.4377,0.4377
pct20,wo_count,0.9633,0.0367,0.9641,0.0359,1.0,0.0,0.8962,0.1038,0.5427,0.4573,0.4573
pct20,labor_hours,0.9878,0.0122,1.0,0.0,0.9091,0.0909,0.9793,0.0207,0.5663,0.4337,0.4337
pct20,mean_cost_per_wo,0.2498,0.7502,0.2527,0.7473,0.0555,0.9445,0.3672,0.6328,0.8091,0.1909,0.9445
pct20,shock_only,0.9709,0.0291,0.9416,0.0584,0.8367,0.1633,1.0,0.0,0.5904,0.4096,0.4096
pct20,consensus,0.9671,0.0329,0.934,0.066,0.8706,0.1294,0.9715,0.0285,0.5969,0.4031,0.4031
