k,rule,captured_L1,captured_L2,captured_L3,captured_L4,captured_L5
abs5,recorded_cost,0.8225,0.804,0.8163,0.8171,0.3537
abs5,labor_hours,0.8051,0.8215,0.8223,0.7865,0.3517
abs5,chronicity,0.7489,0.7566,0.8569,0.6763,0.3351
abs5,shock,0.8183,0.8029,0.7953,0.8232,0.3634
abs5,volatility,0.1924,0.1664,0.1325,0.2479,0.5212
abs5,wo_count,0.7489,0.7566,0.8569,0.6763,0.3351
abs5,mean_cost_per_wo,0.4702,0.4538,0.2979,0.5426,0.4368
abs5,total_burden_L6,0.8225,0.804,0.8163,0.8171,0.3537
abs5,consensus,0.8172,0.8098,0.8118,0.8118,0.366
pct10,recorded_cost,0.4298,0.4118,0.3561,0.4383,0.091
pct10,labor_hours,0.4129,0.4182,0.3306,0.4316,0.095
pct10,chronicity,0.4003,0.406,0.4155,0.3712,0.0875
pct10,shock,0.4159,0.4051,0.3172,0.4427,0.094
pct10,volatility,0.0234,0.0161,0.0209,0.0287,0.1801
pct10,wo_count,0.4003,0.406,0.4155,0.3712,0.0875
pct10,mean_cost_per_wo,0.1165,0.1204,0.0192,0.1774,0.1413
pct10,total_burden_L6,0.4298,0.4118,0.3561,0.4383,0.091
pct10,consensus,0.4073,0.3923,0.3541,0.4101,0.0978
